geometry,Crime Type:,Occurrence Date/Time:,Location:,City:,Neighbourhood:
"X: 491150.6187, Y: 5459036.8701, Z: NaN",Offence Against a Person,2021-01-09T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 491232.2481, Y: 5458098.4011, Z: NaN",Offence Against a Person,2021-02-13T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491270.708, Y: 5459163.2686, Z: NaN",Offence Against a Person,2021-07-22T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491209.687, Y: 5459391.8668, Z: NaN",Offence Against a Person,2021-07-28T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491150.6187, Y: 5459036.8701, Z: NaN",Offence Against a Person,2021-03-04T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 491270.708, Y: 5459163.2686, Z: NaN",Offence Against a Person,2021-02-28T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491150.6187, Y: 5459036.8701, Z: NaN",Offence Against a Person,2021-08-02T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 491209.687, Y: 5459391.8668, Z: NaN",Offence Against a Person,2021-08-22T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491121.8888, Y: 5459615.8842, Z: NaN",Offence Against a Person,2021-08-22T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491270.708, Y: 5459163.2686, Z: NaN",Offence Against a Person,2021-01-25T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491270.708, Y: 5459163.2686, Z: NaN",Offence Against a Person,2021-07-29T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-05-22T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-11-16T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-08-21T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-09-19T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-11-05T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491232.2481, Y: 5458098.4011, Z: NaN",Offence Against a Person,2021-09-05T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-10-18T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-09-03T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491270.708, Y: 5459163.2686, Z: NaN",Offence Against a Person,2021-08-12T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491209.687, Y: 5459391.8668, Z: NaN",Offence Against a Person,2021-09-18T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491232.2481, Y: 5458098.4011, Z: NaN",Offence Against a Person,2021-04-27T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491232.2481, Y: 5458098.4011, Z: NaN",Offence Against a Person,2021-05-24T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-10-16T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-10-25T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491270.708, Y: 5459163.2686, Z: NaN",Offence Against a Person,2021-08-21T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-10-23T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-10-31T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-08-29T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-08-13T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-09-18T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491270.708, Y: 5459163.2686, Z: NaN",Offence Against a Person,2021-07-05T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-06-25T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-12-06T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491296.182, Y: 5457825.2085, Z: NaN",Offence Against a Person,2021-02-08T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491709.6752, Y: 5458321.6144, Z: NaN",Offence Against a Person,2021-11-22T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-12-05T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491270.708, Y: 5459163.2686, Z: NaN",Offence Against a Person,2021-08-20T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491360.3523, Y: 5457860.6487, Z: NaN",Offence Against a Person,2021-04-02T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491482.3405, Y: 5458095.9182, Z: NaN",Offence Against a Person,2021-07-09T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-04-11T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-07-30T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491450.5743, Y: 5457973.3905, Z: NaN",Offence Against a Person,2021-08-16T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491482.3405, Y: 5458095.9182, Z: NaN",Offence Against a Person,2021-02-25T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491482.3405, Y: 5458095.9182, Z: NaN",Offence Against a Person,2021-07-18T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-01-16T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-03-12T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-06-10T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-08-29T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-09-19T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491570.2129, Y: 5458957.7018, Z: NaN",Offence Against a Person,2021-10-22T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491360.3523, Y: 5457860.6487, Z: NaN",Offence Against a Person,2021-08-17T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491482.3405, Y: 5458095.9182, Z: NaN",Offence Against a Person,2021-07-19T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491482.3405, Y: 5458095.9182, Z: NaN",Offence Against a Person,2021-02-20T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491209.687, Y: 5459391.8668, Z: NaN",Offence Against a Person,2021-07-11T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491360.3523, Y: 5457860.6487, Z: NaN",Offence Against a Person,2021-07-06T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491709.6752, Y: 5458321.6144, Z: NaN",Offence Against a Person,2021-02-19T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491209.687, Y: 5459391.8668, Z: NaN",Offence Against a Person,2021-03-18T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491450.5743, Y: 5457973.3905, Z: NaN",Offence Against a Person,2021-07-11T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491270.708, Y: 5459163.2686, Z: NaN",Offence Against a Person,2021-11-16T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490660.6494, Y: 5458201.7305, Z: NaN",Offence Against a Person,2021-07-03T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490756.3082, Y: 5458644.5072, Z: NaN",Offence Against a Person,2021-06-11T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490756.3082, Y: 5458644.5072, Z: NaN",Offence Against a Person,2021-07-03T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490748.7893, Y: 5458113.5786, Z: NaN",Offence Against a Person,2021-08-20T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490756.3082, Y: 5458644.5072, Z: NaN",Offence Against a Person,2021-12-19T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490748.7893, Y: 5458113.5786, Z: NaN",Offence Against a Person,2021-03-01T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490748.7893, Y: 5458113.5786, Z: NaN",Offence Against a Person,2021-08-01T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490756.3082, Y: 5458644.5072, Z: NaN",Offence Against a Person,2021-07-25T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490822.7379, Y: 5459614.341, Z: NaN",Offence Against a Person,2021-10-14T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490822.7379, Y: 5459614.341, Z: NaN",Offence Against a Person,2021-11-12T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
