geometry,Crime Type:,Occurrence Date/Time:,Location:,City:,Neighbourhood:
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2021-06-19T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2021-12-08T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490822.7379, Y: 5459614.341, Z: NaN",Offence Against a Person,2021-03-19T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490822.7379, Y: 5459614.341, Z: NaN",Offence Against a Person,2021-09-07T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490756.3082, Y: 5458644.5072, Z: NaN",Offence Against a Person,2021-03-27T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490756.3082, Y: 5458644.5072, Z: NaN",Offence Against a Person,2021-05-29T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490756.3082, Y: 5458644.5072, Z: NaN",Offence Against a Person,2021-08-08T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490756.3082, Y: 5458644.5072, Z: NaN",Offence Against a Person,2021-08-10T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490756.3082, Y: 5458644.5072, Z: NaN",Offence Against a Person,2021-12-15T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2021-03-04T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2021-07-03T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2021-09-01T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490756.3082, Y: 5458644.5072, Z: NaN",Offence Against a Person,2021-10-30T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2021-05-01T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2021-05-23T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2021-07-07T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2021-11-01T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490770.0992, Y: 5457657.0421, Z: NaN",Offence Against a Person,2021-09-24T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490756.3082, Y: 5458644.5072, Z: NaN",Offence Against a Person,2021-06-17T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 491121.8888, Y: 5459615.8842, Z: NaN",Offence Against a Person,2021-09-30T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490756.3082, Y: 5458644.5072, Z: NaN",Offence Against a Person,2021-07-02T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490756.3082, Y: 5458644.5072, Z: NaN",Offence Against a Person,2021-07-14T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490756.3082, Y: 5458644.5072, Z: NaN",Offence Against a Person,2021-09-16T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490959.1377, Y: 5457903.783, Z: NaN",Offence Against a Person,2021-12-19T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491209.687, Y: 5459391.8668, Z: NaN",Offence Against a Person,2021-06-02T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490748.7893, Y: 5458113.5786, Z: NaN",Offence Against a Person,2021-11-29T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490756.3082, Y: 5458644.5072, Z: NaN",Offence Against a Person,2021-02-05T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490959.1377, Y: 5457903.783, Z: NaN",Offence Against a Person,2021-07-03T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2021-08-14T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 491209.687, Y: 5459391.8668, Z: NaN",Offence Against a Person,2021-06-15T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491209.687, Y: 5459391.8668, Z: NaN",Offence Against a Person,2021-03-06T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2021-04-27T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2021-07-18T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2021-12-13T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490872.6896, Y: 5458993.2674, Z: NaN",Offence Against a Person,2021-05-02T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490872.6896, Y: 5458993.2674, Z: NaN",Offence Against a Person,2021-11-14T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2021-04-10T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2021-07-04T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2021-12-03T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2021-04-05T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2021-12-03T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2021-03-11T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490559.0486, Y: 5459822.8889, Z: NaN",Offence Against a Person,2021-07-24T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490498.7361, Y: 5459215.6983, Z: NaN",Offence Against a Person,2021-10-06T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490498.7361, Y: 5459215.6983, Z: NaN",Offence Against a Person,2021-11-09T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490498.7361, Y: 5459215.6983, Z: NaN",Offence Against a Person,2021-12-15T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490522.4722, Y: 5458409.2674, Z: NaN",Offence Against a Person,2021-01-13T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490445.2626, Y: 5458332.6263, Z: NaN",Offence Against a Person,2021-08-06T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490498.7361, Y: 5459215.6983, Z: NaN",Offence Against a Person,2021-06-19T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490559.0486, Y: 5459822.8889, Z: NaN",Offence Against a Person,2021-12-15T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490532.8379, Y: 5458714.0581, Z: NaN",Offence Against a Person,2021-11-25T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490498.7361, Y: 5459215.6983, Z: NaN",Offence Against a Person,2021-11-27T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490486.8894, Y: 5457933.4061, Z: NaN",Offence Against a Person,2021-01-23T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490522.4722, Y: 5458409.2674, Z: NaN",Offence Against a Person,2021-11-19T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490532.8379, Y: 5458714.0581, Z: NaN",Offence Against a Person,2021-07-01T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490532.8379, Y: 5458714.0581, Z: NaN",Offence Against a Person,2021-09-15T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490585.7612, Y: 5458049.7875, Z: NaN",Offence Against a Person,2021-07-14T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490585.7612, Y: 5458049.7875, Z: NaN",Offence Against a Person,2021-09-12T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490486.8894, Y: 5457933.4061, Z: NaN",Offence Against a Person,2021-02-05T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490498.7361, Y: 5459215.6983, Z: NaN",Offence Against a Person,2021-12-08T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490498.7361, Y: 5459215.6983, Z: NaN",Offence Against a Person,2021-09-28T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490501.5763, Y: 5459946.0878, Z: NaN",Offence Against a Person,2021-01-18T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490532.8379, Y: 5458714.0581, Z: NaN",Offence Against a Person,2021-12-10T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490522.4722, Y: 5458409.2674, Z: NaN",Offence Against a Person,2021-05-12T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490522.4722, Y: 5458409.2674, Z: NaN",Offence Against a Person,2021-06-28T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490522.4722, Y: 5458409.2674, Z: NaN",Offence Against a Person,2021-12-14T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490532.8379, Y: 5458714.0581, Z: NaN",Offence Against a Person,2021-02-10T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490498.7361, Y: 5459215.6983, Z: NaN",Offence Against a Person,2021-01-03T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490522.4722, Y: 5458409.2674, Z: NaN",Offence Against a Person,2021-04-20T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490576.3084, Y: 5458038.9757, Z: NaN",Offence Against a Person,2021-10-15T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490486.8894, Y: 5457933.4061, Z: NaN",Offence Against a Person,2021-02-21T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490498.7361, Y: 5459215.6983, Z: NaN",Offence Against a Person,2021-11-16T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490583.9762, Y: 5458031.1361, Z: NaN",Offence Against a Person,2021-09-02T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490559.0486, Y: 5459822.8889, Z: NaN",Offence Against a Person,2021-09-19T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490559.0486, Y: 5459822.8889, Z: NaN",Offence Against a Person,2021-10-06T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490585.7612, Y: 5458049.7875, Z: NaN",Offence Against a Person,2021-01-19T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490585.7612, Y: 5458049.7875, Z: NaN",Offence Against a Person,2021-08-22T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490585.7612, Y: 5458049.7875, Z: NaN",Offence Against a Person,2021-10-29T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490522.4722, Y: 5458409.2674, Z: NaN",Offence Against a Person,2021-08-17T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490522.4722, Y: 5458409.2674, Z: NaN",Offence Against a Person,2021-10-01T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490576.3084, Y: 5458038.9757, Z: NaN",Offence Against a Person,2021-06-20T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490522.4722, Y: 5458409.2674, Z: NaN",Offence Against a Person,2021-01-12T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490522.4722, Y: 5458409.2674, Z: NaN",Offence Against a Person,2021-03-04T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490532.8379, Y: 5458714.0581, Z: NaN",Offence Against a Person,2021-03-04T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490532.8379, Y: 5458714.0581, Z: NaN",Offence Against a Person,2021-06-10T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490532.8379, Y: 5458714.0581, Z: NaN",Offence Against a Person,2021-09-06T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490532.8379, Y: 5458714.0581, Z: NaN",Offence Against a Person,2021-10-21T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490559.0486, Y: 5459822.8889, Z: NaN",Offence Against a Person,2021-03-30T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490522.4722, Y: 5458409.2674, Z: NaN",Offence Against a Person,2021-10-23T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490498.7361, Y: 5459215.6983, Z: NaN",Offence Against a Person,2021-12-16T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490532.8379, Y: 5458714.0581, Z: NaN",Offence Against a Person,2021-03-06T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490498.7361, Y: 5459215.6983, Z: NaN",Offence Against a Person,2021-11-01T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2021-04-28T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 491232.2481, Y: 5458098.4011, Z: NaN",Offence Against a Person,2021-04-13T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491232.2481, Y: 5458098.4011, Z: NaN",Offence Against a Person,2021-12-19T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491232.2481, Y: 5458098.4011, Z: NaN",Offence Against a Person,2021-08-13T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2021-08-06T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 491150.6187, Y: 5459036.8701, Z: NaN",Offence Against a Person,2021-01-23T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End
"X: 491270.708, Y: 5459163.2686, Z: NaN",Offence Against a Person,2021-11-19T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491232.2481, Y: 5458098.4011, Z: NaN",Offence Against a Person,2021-07-18T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
