TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2022,1,3,16,19,10XX ALBERNI ST,West End,491036.0799,5459145.9182
Break and Enter Commercial,2022,1,11,3,3,10XX BROUGHTON ST,West End,490247.4903,5459171.3852
Break and Enter Commercial,2022,1,20,11,9,10XX BROUGHTON ST,West End,490247.4903,5459171.3852
Break and Enter Commercial,2022,1,7,6,2,10XX CANADA PL,Central Business District,491493.3778,5459541.9474
Break and Enter Commercial,2022,2,2,0,24,10XX DAVIE ST,West End,490512.2892,5458572.4873
Break and Enter Commercial,2022,1,21,3,30,10XX DUNSMUIR ST,Central Business District,491238.7326,5459258.6928
Break and Enter Commercial,2022,1,26,21,59,10XX DUNSMUIR ST,Central Business District,491238.7326,5459258.6928
Break and Enter Commercial,2022,1,20,22,0,10XX E 12TH AVE,Mount Pleasant,493942.0396,5456323.9102
Break and Enter Commercial,2022,1,25,21,0,10XX E 50TH AVE,Sunset,493883.5176,5452404.9326
Break and Enter Commercial,2022,1,31,4,45,10XX HARWOOD ST,West End,490370.0447,5458403.2085
Break and Enter Commercial,2022,1,2,9,0,10XX MAIN ST,Central Business District,492723.7706,5458103.8792
Break and Enter Commercial,2022,1,4,13,55,10XX MAINLAND ST,Central Business District,491260.9943,5458119.7955
Break and Enter Commercial,2022,1,18,5,42,10XX MAINLAND ST,Central Business District,491279.0572,5458138.529
Break and Enter Commercial,2022,1,8,8,30,10XX PARKER ST,Strathcona,494080.0022,5458126.7591
Break and Enter Commercial,2022,1,22,20,15,10XX PARKER ST,Strathcona,494080.0022,5458126.7591
Break and Enter Commercial,2022,2,8,6,39,10XX ROBSON ST,West End,490942.3287,5459086.387
Break and Enter Commercial,2022,1,13,3,33,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2022,1,11,0,18,10XX W BROADWAY AVE,Fairview,490755.7444,5456742.0604
Break and Enter Commercial,2022,1,25,5,17,10XX W GEORGIA ST,Central Business District,491115.752,5459163.1779
Break and Enter Commercial,2022,2,9,11,29,11XX GRANVILLE ST,Central Business District,490885.5183,5458332.2084
Break and Enter Commercial,2022,1,4,11,53,11XX HAMILTON ST,Central Business District,491169.8317,5458106.3448
Break and Enter Commercial,2022,2,1,14,45,11XX HOMER ST,Central Business District,491118.2287,5458139.7575
Break and Enter Commercial,2022,1,8,18,50,11XX HORNBY ST,Central Business District,490765.3084,5458508.2562
Break and Enter Commercial,2022,1,18,4,48,11XX MAINLAND ST,Central Business District,491197.3282,5458068.4608
Break and Enter Commercial,2022,1,14,16,14,11XX ROBSON ST,West End,490909.5334,5459106.0202
Break and Enter Commercial,2022,1,22,6,38,11XX W CORDOVA ST,Central Business District,491131.6171,5459616.1289
Break and Enter Commercial,2022,1,22,18,0,11XX W PENDER ST,Central Business District,491187.9805,5459452.1543
